"""Problem"",""Severity"",""File"",""Line"",""Column"",""Rule"",""Description"",""URL"",""Category"",""Engine"""
"""1"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_CreateNewProspectPageClass.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""2"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_CreateNewProspectPageClass.cls"",""12"",""21"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""3"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_CreateNewProspectPageClass.cls"",""33"",""18"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""4"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_CreateNewProspectPageClass.cls"",""33"",""18"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""5"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_ProspectAsStandardLead.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""6"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_ProspectAsStandardLead.cls"",""27"",""22"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""7"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_ProspectAsStandardLead.cls"",""169"",""27"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""8"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_ProspectAsStandardLead.cls"",""176"",""27"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""9"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_ProspectAsStandardLead.cls"",""182"",""25"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""10"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_ProspectAsStandardLead.cls"",""191"",""25"",""ApexXSSFromURLParam"",""Apex classes should escape/sanitize Strings obtained from URL parameters"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexxssfromurlparam"",""Security"",""pmd"""
"""11"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_ProspectAsStandardLead.cls"",""191"",""18"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""12"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_ProspectViewPageClass.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""13"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_ProspectViewPageClass.cls"",""8"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""14"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_ProspectViewPageClass.cls"",""19"",""25"",""ApexXSSFromURLParam"",""Apex classes should escape/sanitize Strings obtained from URL parameters"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexxssfromurlparam"",""Security"",""pmd"""
"""15"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_ProspectViewPageClass.cls"",""19"",""18"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""16"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\BV_RedirectLeadPageAccordingToRTClass.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""17"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\CustomLeadConversionClass.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""18"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\CustomLeadConversionClass.cls"",""12"",""21"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""19"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\CustomLeadConversionClass.cls"",""43"",""9"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""20"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\CustomLeadConversionClass.cls"",""46"",""41"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""21"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\CustomLeadConversionClass.cls"",""83"",""9"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""22"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\CustomLeadConversionClass.cls"",""83"",""9"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""23"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\CustomLeadConversionClass.cls"",""87"",""9"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""24"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\LightningConnectQuickstart.cls"",""3"",""27"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""25"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\LightningConnectQuickstart.cls"",""11"",""27"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""26"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\LightningConnectQuickstart.cls"",""15"",""9"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""27"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""28"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""18"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""29"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""24"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""30"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""31"",""52"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""31"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""100"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""32"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""100"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""33"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""104"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""34"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""104"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""35"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""133"",""51"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""36"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""169"",""47"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""37"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""189"",""47"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""38"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""39"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""24"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""40"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""29"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""41"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""36"",""59"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""42"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""81"",""36"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""43"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""97"",""30"",""ApexXSSFromURLParam"",""Apex classes should escape/sanitize Strings obtained from URL parameters"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexxssfromurlparam"",""Security"",""pmd"""
"""44"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""98"",""67"",""ApexSOQLInjection"",""Avoid untrusted/unescaped variables in DML query"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsoqlinjection"",""Security"",""pmd"""
"""45"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""140"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""46"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""140"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
